"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1986-06-17","0.39","74","84","71"
"BRM00082900","RECIFE, BR","1986-06-19",,"78",,
"BRM00082900","RECIFE, BR","1986-06-20","0.00","79","83","69"
"BRM00082900","RECIFE, BR","1986-06-22","0.02","77",,"71"
"BRM00082900","RECIFE, BR","1986-06-23","0.20","78","82","71"
"BRM00082900","RECIFE, BR","1986-07-02",,"77",,
"BRM00082900","RECIFE, BR","1986-07-05",,"79",,
"BRM00082900","RECIFE, BR","1986-07-06","0.20","75",,"70"
"BRM00082900","RECIFE, BR","1986-07-09","0.12","76",,"70"
"BRM00082900","RECIFE, BR","1986-07-10","0.43","76","82","69"
"BRM00082900","RECIFE, BR","1986-07-11","0.98","74","83","70"
"BRM00082900","RECIFE, BR","1986-07-14","1.61","76",,"70"
"BRM00082900","RECIFE, BR","1986-07-16","0.24","74","81","72"
"BRM00082900","RECIFE, BR","1986-07-18",,"78",,"70"
"BRM00082900","RECIFE, BR","1986-07-19","0.00","76","82","71"
"BRM00082900","RECIFE, BR","1986-07-20","1.14","78","82","71"
"BRM00082900","RECIFE, BR","1986-07-21","0.16","78",,"71"
"BRM00082900","RECIFE, BR","1986-07-22","0.02","78","83","68"
"BRM00082900","RECIFE, BR","1986-07-28",,"77",,
"BRM00082900","RECIFE, BR","1986-07-29",,"76","83","66"
"BRM00082900","RECIFE, BR","1986-07-30","0.04","78","83","67"
"BRM00082900","RECIFE, BR","1986-07-31","0.24","79",,"66"
"BRM00082900","RECIFE, BR","1986-08-01","0.00","76","82","62"
"BRM00082900","RECIFE, BR","1986-08-03","0.08","77",,"70"
"BRM00082900","RECIFE, BR","1986-08-04","0.00","78","80",
"BRM00082900","RECIFE, BR","1986-08-05","0.03","76","82","68"
"BRM00082900","RECIFE, BR","1986-08-06","1.02","73","80","70"
"BRM00082900","RECIFE, BR","1986-08-07","2.09","77",,
"BRM00082900","RECIFE, BR","1986-08-08","2.60","76","81","71"
"BRM00082900","RECIFE, BR","1986-08-09","0.12","77","81","70"
"BRM00082900","RECIFE, BR","1986-08-10","0.24","76","81","69"
"BRM00082900","RECIFE, BR","1986-08-11","0.24","76","81","69"
"BRM00082900","RECIFE, BR","1986-08-12","1.18","77",,"69"
"BRM00082900","RECIFE, BR","1986-08-13","0.00","78","82",
"BRM00082900","RECIFE, BR","1986-08-15","0.39","76","81","69"
"BRM00082900","RECIFE, BR","1986-08-17",,"78",,
"BRM00082900","RECIFE, BR","1986-08-18",,"79","82","69"
"BRM00082900","RECIFE, BR","1986-08-19",,"77","82","68"
"BRM00082900","RECIFE, BR","1986-08-21",,"78","84","68"
"BRM00082900","RECIFE, BR","1986-08-22","0.03","79","84","69"
"BRM00082900","RECIFE, BR","1986-08-24",,"80","85","70"
"BRM00082900","RECIFE, BR","1986-08-28","0.04","78","83","70"
"BRM00082900","RECIFE, BR","1986-08-29","0.16","79",,"71"
"BRM00082900","RECIFE, BR","1986-08-31","1.06","78",,"69"
"BRM00082900","RECIFE, BR","1986-09-01","0.35","79",,"71"
"BRM00082900","RECIFE, BR","1986-09-02","0.47","75","82","71"
"BRM00082900","RECIFE, BR","1986-09-03","1.10","76","81","70"
"BRM00082900","RECIFE, BR","1986-09-04","0.24","75",,"68"
"BRM00082900","RECIFE, BR","1986-09-05","0.02","77",,"68"
"BRM00082900","RECIFE, BR","1987-06-18","0.35","78","84","74"
"BRM00082900","RECIFE, BR","1988-04-06","0.75","83",,"73"
"BRM00082900","RECIFE, BR","1990-04-11",,"84","87","70"
"BRM00082900","RECIFE, BR","1990-09-19","0.16","79","84","69"
"BRM00082900","RECIFE, BR","1991-01-21","0.12","83","86","73"
"BRM00082900","RECIFE, BR","1991-09-09","0.02","78","81","70"
"BRM00082900","RECIFE, BR","1997-03-28","0.00","83","86","71"
