"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"BRM00082900","RECIFE, BR","1979-02-07","0.04","80","84","73"
"BRM00082900","RECIFE, BR","1979-02-08","0.00","78","86","72"
"BRM00082900","RECIFE, BR","1979-02-09","0.00","80","88","72"
"BRM00082900","RECIFE, BR","1979-02-10","0.00","79","86","72"
"BRM00082900","RECIFE, BR","1979-02-11","0.00","80","86","72"
"BRM00082900","RECIFE, BR","1979-02-12","0.20","80","86","73"
"BRM00082900","RECIFE, BR","1979-02-13","0.08","82","86","75"
"BRM00082900","RECIFE, BR","1979-02-14","0.31","81","86","75"
"BRM00082900","RECIFE, BR","1979-02-15","0.00","81","88","72"
"BRM00082900","RECIFE, BR","1979-02-16","0.00","79","88","72"
"BRM00082900","RECIFE, BR","1979-02-17","0.00","81","88","72"
"BRM00082900","RECIFE, BR","1979-02-18","0.00","81","88","72"
"BRM00082900","RECIFE, BR","1979-02-19","0.08","78","88","70"
"BRM00082900","RECIFE, BR","1979-02-20","0.08","80","88","75"
"BRM00082900","RECIFE, BR","1979-02-21","0.00","80","84","70"
"BRM00082900","RECIFE, BR","1979-02-22","0.00","80",,"70"
"BRM00082900","RECIFE, BR","1979-02-23","0.00","81","88","72"
"BRM00082900","RECIFE, BR","1979-02-24","2.36","77","88","75"
"BRM00082900","RECIFE, BR","1979-02-25","0.39","79",,"73"
"BRM00082900","RECIFE, BR","1979-02-26","1.18","80","86","72"
"BRM00082900","RECIFE, BR","1979-02-27","0.35","77","86","75"
"BRM00082900","RECIFE, BR","1979-02-28","0.12","81",,"77"
"BRM00082900","RECIFE, BR","1979-03-02","0.00","80","86","72"
"BRM00082900","RECIFE, BR","1979-03-05","2.36","75","86","72"
"BRM00082900","RECIFE, BR","1979-03-06","0.79","78",,"72"
"BRM00082900","RECIFE, BR","1979-03-07","0.01","80","86","73"
"BRM00082900","RECIFE, BR","1979-03-08","0.04","80","84","73"
"BRM00082900","RECIFE, BR","1979-03-11","0.31","79","84","73"
"BRM00082900","RECIFE, BR","1979-03-12","0.00","80","86","72"
"BRM00082900","RECIFE, BR","1979-03-13","0.47","80","86","75"
"BRM00082900","RECIFE, BR","1979-03-14","0.00","81","86","73"
"BRM00082900","RECIFE, BR","1979-03-15","0.00","81","86","73"
"BRM00082900","RECIFE, BR","1979-03-16","0.00","80","86","73"
"BRM00082900","RECIFE, BR","1979-03-21","1.42","81","84","75"
"BRM00082900","RECIFE, BR","1979-03-22","0.00","81","86","72"
"BRM00082900","RECIFE, BR","1979-03-23",,"78","86","75"
"BRM00082900","RECIFE, BR","1979-03-24","0.00","80","86","70"
"BRM00082900","RECIFE, BR","1979-03-26","0.00","81","86","73"
"BRM00082900","RECIFE, BR","1979-03-27","0.00","82","88","73"
"BRM00082900","RECIFE, BR","1979-03-28","0.00","81","88","73"
"BRM00082900","RECIFE, BR","1979-03-29","0.00","81","88","73"
"BRM00082900","RECIFE, BR","1979-03-30","0.55","81","90","73"
"BRM00082900","RECIFE, BR","1979-03-31","0.00","80","88","72"
"BRM00082900","RECIFE, BR","1979-04-01","0.08","81","88","73"
"BRM00082900","RECIFE, BR","1979-04-02","0.12","80","86","72"
"BRM00082900","RECIFE, BR","1979-04-03","0.28","81","86","73"
"BRM00082900","RECIFE, BR","1979-04-04","1.06","81","86","73"
"BRM00082900","RECIFE, BR","1979-04-05","0.00","79","86","72"
"BRM00082900","RECIFE, BR","1979-04-06","0.00","80","86","70"
"BRM00082900","RECIFE, BR","1979-04-07","0.00","81","86","73"
"BRM00082900","RECIFE, BR","1979-04-08","0.00","81","88","72"
"BRM00082900","RECIFE, BR","1979-04-10","0.00","80","88","72"
"BRM00082900","RECIFE, BR","1979-04-11","0.00","77","86","70"
"BRM00082900","RECIFE, BR","1979-04-12","0.00","80","86","72"
"BRM00082900","RECIFE, BR","1979-04-13","0.20","81","86","77"
"BRM00082900","RECIFE, BR","1979-04-15","1.42","79","84","75"
"BRM00082900","RECIFE, BR","1979-04-17","0.00","78","86","73"
"BRM00082900","RECIFE, BR","1979-04-18","0.87","77","86","73"
"BRM00082900","RECIFE, BR","1979-04-20","0.00","80",,"72"
"BRM00082900","RECIFE, BR","1979-04-21","0.00","79","86","73"
"BRM00082900","RECIFE, BR","1979-04-22","0.00","80","86","73"
"BRM00082900","RECIFE, BR","1979-04-23","0.00","81","88","73"
"BRM00082900","RECIFE, BR","1979-04-25","0.00","81","88","75"
"BRM00082900","RECIFE, BR","1979-04-26","0.00","79","86","75"
"BRM00082900","RECIFE, BR","1979-04-27","0.00","79","84","73"
"BRM00082900","RECIFE, BR","1979-04-28","0.83","81","88","75"
"BRM00082900","RECIFE, BR","1979-04-30","0.35","78",,
"BRM00082900","RECIFE, BR","1979-05-01","1.46","78","84","73"
"BRM00082900","RECIFE, BR","1979-05-02","0.20","79","84",
"BRM00082900","RECIFE, BR","1979-05-03","0.71","79","86","73"
"BRM00082900","RECIFE, BR","1979-05-04","0.71","79","84","75"
"BRM00082900","RECIFE, BR","1979-05-05","0.35","80","84","73"
"BRM00082900","RECIFE, BR","1979-05-06","0.20","79","86","73"
"BRM00082900","RECIFE, BR","1979-05-07","0.12","76","86","73"
"BRM00082900","RECIFE, BR","1979-05-08","0.28","78","84","72"
"BRM00082900","RECIFE, BR","1979-05-09","0.00","77","86","72"
"BRM00082900","RECIFE, BR","1979-05-10","0.20","77","84","73"
"BRM00082900","RECIFE, BR","1979-05-11","1.26","77","82","73"
"BRM00082900","RECIFE, BR","1979-05-12","0.63","78",,"73"
"BRM00082900","RECIFE, BR","1979-05-13","0.00","78","84","73"
"BRM00082900","RECIFE, BR","1979-05-14","0.08","74","79","73"
"BRM00082900","RECIFE, BR","1979-05-15","0.55","77","81","73"
